open,volume,weightedAverage,close,date,quoteVolume,high,low
4040.16899992,2998.31422304,4042.67128042,4043.01619943,1553170500,0.74166659,4044.72700147,4040.16899992
4046.86899415,26.5042805,4046.86899415,4046.86899415,1553170800,0.00654933,4046.86899415,4046.86899415
4046.86899415,0,4046.86899415,4046.86899415,1553171100,0,4046.86899415,4046.86899415
4039,17244.72292047,4046.41382812,4031.40980724,1553171400,4.26172993,4055.00009988,4031.40980724
4034.4571895,842.0457514,4039.68090271,4034.49119059,1553171700,0.20844363,4045.00000003,4034.4571895
4039.41692302,1.85643522,4039.41692302,4039.41692302,1553172000,0.00045958,4039.41692302,4039.41692302
4030.49311499,960.716469,4030.58488545,4032.29954933,1553172300,0.23835659,4032.29954933,4030.49311499
4036.13642923,4664.9849732,4035.58779918,4035.74969527,1553172600,1.15596171,4036.32152785,4030.49311499
4035.04208949,2706.35651133,4034.99834556,4036.48207029,1553172900,0.6707206,4036.48207029,4030.49311499
4036.48207029,0,4036.48207029,4036.48207029,1553173200,0,4036.48207029,4036.48207029
4031.58346795,2.30183258,4031.58346795,4031.58346795,1553173500,0.00057095,4031.58346795,4031.58346795
4033,484.86411794,4033,4033,1553173800,0.12022418,4033,4033
4033,2104.38887019,4033,4033,1553174100,0.52179243,4033,4033
4033,31821.87954531,4030.82290632,4030.49,1553174400,7.89463598,4033,4030.49
4030.49,98960.63902209,4026.12129579,4018.99732661,1553174700,24.5796467,4030.49,4018.99732661
4018.99732661,584.97499048,4018.46257135,4015,1553175000,0.14557184,4024.99999989,4015
4014.98407811,3489.36774399,4018.82591449,4018.82895329,1553175300,0.86825551,4018.82895329,4014.98407811
4018.82895328,3815.15032201,4016.11021188,4012.90179248,1553175600,0.94996156,4018.82895328,4012.90179248
4013.09790731,3439.63900919,4013.16653857,4015.17004915,1553175900,0.85708853,4015.17004925,4013.09790722
4014,278.5079781,4014,4014,1553176200,0.06938415,4014,4014
4018.82895329,1327.32454605,4024.7680307,4024.32640654,1553176500,0.32978908,4026.43210093,4018.82895329
4016.98907093,8005.33059628,4021.79900692,4021.02152524,1553176800,1.990485,4022.71896856,4016.98907093
4013.09100001,71.2292664,4013.08824546,4012.99851188,1553177100,0.01774924,4013.09100001,4012.99851188
4018.66895568,2057.66972631,4018.66814006,4018.48546326,1553177400,0.51202778,4018.66895574,4018.48546326
4015.57442568,12.19449641,4015.57442568,4015.57442568,1553177700,0.0030368,4015.57442568,4015.57442568
4008,21467.26964198,3998.44416004,4003.20641803,1553178000,5.3689057,4008,3995.79537238
4004.38800808,15.4840883,4006.84407215,4015.36802749,1553178300,0.00386441,4015.36802749,4004.38800808
4002.81100022,509.91887366,4002.95475784,4007.99999999,1553178600,0.12738562,4007.99999999,4002.81100022
4000,1471.25641704,3998.90664061,4003.21323901,1553178900,0.36791467,4003.21323901,3996
3995.79537238,55721.52952512,3995.20732004,3984.09686481,1553179200,13.94709337,3996,3984.09686481
3984.0968648,14072.56663313,3974.61111869,3970.598,1553179500,3.54061472,3984.0968648,3968.2772535
3975.70243161,1188.70393734,3976.94782174,3970.87428893,1553179800,0.29889855,3977.31379035,3970.87428893
3974.11915753,239004.61650739,3927.99299447,3922,1553180100,60.84649765,3974.11915753,3915.54388976
3922,134834.05225455,3947.91371927,3968.67786521,1553180400,34.1532419,3968.67786521,3922
3965,7150.07525801,3954.10589925,3952.18969723,1553180700,1.808266,3965,3952.18969723
3949.80184033,5453.66373843,3947.92796174,3947.46336946,1553181000,1.381399,3949.80184033,3947.46336946
3960.10081077,1281.60274058,3963.73174829,3968.08113452,1553181300,0.32333236,3968.08113452,3960.10081077
3960.52740514,238.97857534,3969.22289836,3969.80358503,1553181600,0.0602079,3969.80358503,3960.52740513
3969.80358503,9552.66140216,3970.03412029,3971.74581183,1553181900,2.40619126,3971.74581186,3969.80358503
3969.80358503,13238.49562371,3971.5478928,3971.74581184,1553182200,3.333334,3972.21494549,3969.70358498
3971.7458118,786.37798035,3962.15621882,3958.19589223,1553182500,0.19847223,3971.74581181,3958.19589223
3962.82683171,1277.30464551,3962.82683239,3962.8268325,1553182800,0.32232159,3962.8268325,3962.82683171
3957.69037804,181.48176581,3955.47810987,3950.29751546,1553183100,0.04588112,3957.69037806,3950.29751546
3961.34175506,1119.26336706,3961.34175515,3961.34175516,1553183400,0.28254653,3961.34175517,3961.34175506
3968.13080164,334.43108786,3968.13080162,3968.13080162,1553183700,0.08427925,3968.13080164,3968.13080161
3968.13080161,2529.1965054,3962.53985463,3963.10553851,1553184000,0.63827661,3968.13080161,3960.24196949
3964,2588.2220509,3963.99920969,3963.99999991,1553184300,0.65293203,3964,3963.10553853
3963.99999991,23175.94693735,3963.19926733,3963.10553851,1553184600,5.84778745,3963.99999991,3963.10553851
3963.10553851,458.39704078,3963.10553851,3963.10553851,1553184900,0.11566612,3963.10553851,3963.10553851
3960,2548.55262592,3952.49134633,3952,1553185200,0.64479651,3960,3952
